year,LOR,bike_theft_count
2023,4300621,10
2022,4300622,98
2023,4300622,21
2022,4300623,147
2023,4300623,8
2022,4300624,67
2023,4300624,7
2022,4400725,4
2023,4400725,1
2022,4400726,23
2023,4400726,2
2022,4400727,42
2023,4400727,2
2022,4400728,13
2023,4400728,2
2022,4400729,14
2022,4400830,60
2023,4400830,13
2022,4400831,7
2022,4400832,25
2023,4400832,2
2022,4400833,4
2023,4400833,1
2022,4400834,33
2023,4400834,3
2022,4400835,46
2023,4400835,5
2022,4500936,47
2023,4500936,6
2022,4500937,45
2023,4500937,3
2022,4500938,37
2023,4500938,6
2022,4500939,39
2022,4501040,39
2023,4501040,3
2022,4501041,32
2023,4501041,3
2022,4501042,72
2023,4501042,5
2022,4501043,67
2023,4501043,16
2022,4501044,48
2023,4501044,6
2022,4501045,75
2023,4501045,5
2022,4501146,21
2023,4501146,2
2022,4501147,54
2023,4501147,6
2022,4501148,33
2023,4501148,8
2022,4501149,79
2023,4501149,7
2022,4501150,34
2023,4501150,4
2022,4501151,41
2023,4501151,8
2022,4501152,62
2023,4501152,3
2022,4501153,48
2023,4501153,6
2022,5100101,7
2023,5100101,1
2022,5100102,6
2023,5100102,4
2022,5100103,9
2023,5100103,1
2022,5100104,8
2023,5100104,1
2022,5100105,9
2022,5100206,4
2022,5100207,9
2022,5100208,14
2022,5100209,8
2023,5100209,1
2022,5100210,12
2023,5100210,2
2022,5100211,17
2022,5100312,9
2023,5100312,1
2022,5100313,19
2023,5100313,2
2022,5100314,31
2023,5100314,3
2022,5100315,18
2023,5100315,6
2022,5100316,71
2023,5100316,5
2022,5100317,5
2022,5200418,7
2022,5200419,1
2022,5200420,6
2022,5200421,7
2022,5200422,1
2022,5200423,11
2023,5200423,1
2022,5200524,6
2022,5200525,10
2022,5200526,2
2022,5200527,18
2023,5200527,1
2022,5200528,9
2023,5200528,1
2022,5200629,95
2023,5200629,3
2022,5200630,24
2023,5200630,4
2022,5200631,31
2022,5200632,5
2023,5200632,1
2022,5200633,4
2022,5200634,7
2023,5200634,1
2022,5300735,14
2023,5300735,1
2022,5300736,21
2023,5300736,2
2022,5300737,25
2023,5300737,2
2022,5300838,1
2022,5300839,23
2023,5300839,2
2022,5300840,17
2023,5300840,4
2022,5300841,31
2023,5300841,3
2022,5400942,6
2022,5400943,21
2022,5400944,8
2022,5400945,7
2022,6100101,36
2023,6100101,5
2022,6100102,86
2023,6100102,6
2022,6100103,81
2023,6100103,1
2022,6100204,14
2022,6100205,19
2022,6100206,24
2023,6100206,2
2022,6100207,31
2023,6100207,1
2022,6100208,19
2023,6100208,2
2022,6100209,48
2023,6100209,5
2022,6100210,27
2023,6100210,1
2022,6200311,4
2022,6200312,22
2023,6200312,1
2022,6200313,36
2023,6200313,2
2022,6200314,16
2023,6200314,2
2022,6200315,9
2022,6200316,7
2022,6200317,4
2023,6200317,2
2022,6200419,6
2022,6200420,27
2023,6200420,1
2022,6200421,41
2023,6200421,2
2022,6200422,61
2023,6200422,2
2022,6200423,4
2022,6300524,21
2023,6300524,1
2022,6300525,5
2022,6300526,120
2023,6300526,12
2022,6300527,36
2023,6300527,3
2022,6300528,17
2023,6300528,5
2022,6300629,22
2023,6300629,2
2022,6300630,21
2023,6300630,1
2022,6300631,10
2023,6300631,1
2022,6300632,19
2023,6300632,1
2022,6300633,40
2023,6300633,9
2022,6300634,50
2023,6300634,4
2022,6400735,62
2023,6400735,6
2022,6400736,8
2023,6400736,1
2022,6400737,78
2023,6400737,4
2022,6400838,43
2023,6400838,3
2022,6400839,82
2023,6400839,5
2022,6400840,25
2023,6400840,4
2022,6400841,22
2023,6400841,2
2022,6400842,53
2022,6400843,21
2023,6400843,1
2022,6400844,25
2023,6400844,3
2022,7100101,127
2023,7100101,11
2022,7100102,146
2023,7100102,14
2022,7100103,89
2023,7100103,8
2022,7100204,107
2023,7100204,23
2022,7100205,41
2023,7100205,7
2022,7100206,108
2023,7100206,15
2022,7200307,92
2023,7200307,6
2022,7200308,79
2023,7200308,5
2022,7200409,81
2023,7200409,11
2022,7200410,37
2023,7200410,2
2022,7200411,28
2023,7200411,2
2022,7200412,41
2023,7200412,3
2022,7200413,84
2023,7200413,9
2022,7200414,35
2023,7200414,1
2022,7300515,46
2023,7300515,2
2022,7300516,55
2023,7300516,4
2022,7300517,58
2023,7300517,4
2022,7300618,40
2023,7300618,6
2022,7300619,81
2023,7300619,3
2022,7400720,95
2023,7400720,14
2022,7400721,42
2023,7400721,2
2022,7400822,22
2023,7400822,1
2022,7400823,34
2023,7400823,1
2022,7400824,23
2023,7400824,6
2022,7400825,33
2023,7400825,2
2022,7400826,10
2023,7400826,1
2022,7400927,75
2023,7400927,3
2022,7400928,17
2023,7400928,1
2022,7501029,14
2022,7501030,35
2022,7501031,28
2023,7501031,1
2022,7501032,12
2022,7501133,35
2023,7501133,4
2022,7501134,16
2023,7501134,5
2022,7501135,4
2022,7601236,3
2022,7601237,12
2022,7601238,17
2023,7601238,3
2022,7601339,2
2022,7601340,4
2022,7601341,5
2022,7601442,10
2023,7601442,2
2022,7601443,9
2022,7601544,32
2023,7601544,8
2022,7601545,3
2023,7601545,1
2022,7601546,29
2023,7601546,4
2022,7601547,1
2022,7601548,2
2023,7601548,1
2022,8100101,88
2023,8100101,15
2022,8100102,74
2023,8100102,15
2022,8100103,54
2023,8100103,11
2022,8100104,61
2023,8100104,5
2022,8100105,31
2023,8100105,5
2022,8100206,142
2023,8100206,11
2022,8100207,33
2023,8100207,4
