ANGELEGT_AM,LOR,bike_theft_count
2022-12-07,1100312,1
2022-12-07,1100416,1
2022-12-07,1200521,1
2022-12-07,1200522,1
2022-12-07,1300836,1
2022-12-07,1400937,2
2022-12-07,1400938,1
2022-12-07,1400942,1
2022-12-07,1401043,1
2022-12-07,1401044,1
2022-12-07,1401046,1
2022-12-07,1401048,1
2022-12-07,2100106,1
2022-12-07,2200207,2
2022-12-07,2200210,1
2022-12-07,2300314,1
2022-12-07,2300419,1
2022-12-07,2400521,1
2022-12-07,2500728,1
2022-12-07,2500833,1
2022-12-07,3300516,1
2022-12-07,3400724,1
2022-12-07,3500934,1
2022-12-07,3601140,1
2022-12-07,3601142,1
2022-12-07,3601347,1
2022-12-07,3601348,1
2022-12-07,3701554,1
2022-12-07,4200308,1
2022-12-07,4500938,1
2022-12-07,4501042,1
2022-12-07,4501044,1
2022-12-07,4501151,1
2022-12-07,5300839,1
2022-12-07,6100103,1
2022-12-07,6200421,1
2022-12-07,6300526,1
2022-12-07,7100102,1
2022-12-07,7100103,1
2022-12-07,7100204,1
2022-12-07,7100206,1
2022-12-07,7200308,1
2022-12-07,7300516,2
2022-12-07,7300517,1
2022-12-07,8100104,1
2022-12-07,8100105,1
2022-12-07,8100206,1
2022-12-07,8100208,2
2022-12-07,8100310,1
2022-12-07,8100418,1
2022-12-07,9100101,1
2022-12-07,9100304,1
2022-12-07,9200511,1
2022-12-07,9200613,1
2022-12-07,10400938,1
2022-12-07,10400939,1
2022-12-07,11200410,1
2022-12-07,11200514,1
2022-12-07,11300620,1
2022-12-07,11300724,1
2022-12-07,11300826,1
2022-12-07,11401032,1
2022-12-07,11401034,1
2022-12-07,12200310,1
2022-12-07,12400722,1
2022-12-08,1100102,2
2022-12-08,1100309,1
2022-12-08,1100311,3
2022-12-08,1100414,1
2022-12-08,1100416,1
2022-12-08,1200517,1
2022-12-08,1300730,1
2022-12-08,1400942,1
2022-12-08,1401043,1
2022-12-08,1401049,1
2022-12-08,2100102,1
2022-12-08,2100106,1
2022-12-08,2200211,1
2022-12-08,2500727,1
2022-12-08,3100101,1
2022-12-08,3100102,1
2022-12-08,3300514,1
2022-12-08,3400619,1
2022-12-08,3400722,1
2022-12-08,3400827,1
2022-12-08,3601347,1
2022-12-08,4200311,1
2022-12-08,4300413,1
2022-12-08,4300416,1
2022-12-08,4300624,1
2022-12-08,4501149,1
2022-12-08,4501150,1
2022-12-08,5100207,1
2022-12-08,5300737,1
2022-12-08,6400735,1
2022-12-08,6400842,1
2022-12-08,6400843,1
2022-12-08,6400844,1
2022-12-08,7100102,1
2022-12-08,7100103,1
2022-12-08,7200307,1
2022-12-08,8100102,1
2022-12-08,8100104,1
2022-12-08,8100314,1
2022-12-08,8100417,1
2022-12-08,8401241,1
2022-12-08,9100408,1
2022-12-08,9200613,1
2022-12-08,9200716,1
2022-12-08,9300921,1
2022-12-08,9301024,1
2022-12-08,9301126,1
2022-12-08,9401431,1
2022-12-08,10400939,1
2022-12-08,11100206,1
2022-12-08,11100309,1
2022-12-08,11400930,1
2022-12-08,12100102,1
2022-12-08,12200309,1
2022-12-08,12400722,1
2022-12-09,1100102,1
2022-12-09,1100103,1
2022-12-09,1100206,1
2022-12-09,1100308,1
2022-12-09,1100309,1
2022-12-09,1100313,1
2022-12-09,1100414,1
2022-12-09,1100416,1
2022-12-09,1200520,3
2022-12-09,1200623,1
2022-12-09,1200624,1
2022-12-09,1200627,1
2022-12-09,1200628,1
2022-12-09,1300834,2
2022-12-09,1300836,1
2022-12-09,1400942,2
2022-12-09,1401043,1
2022-12-09,1401046,1
2022-12-09,1401049,1
2022-12-09,2200209,1
2022-12-09,2200213,1
2022-12-09,2300314,1
2022-12-09,2300418,1
2022-12-09,2300419,1
2022-12-09,2400521,1
2022-12-09,2400623,3
2022-12-09,2400624,2
2022-12-09,2500726,1
2022-12-09,2500727,1
2022-12-09,2500728,1
2022-12-09,2500729,1
2022-12-09,2500834,2
2022-12-09,2500835,1
2022-12-09,2500836,1
2022-12-09,3200309,1
2022-12-09,3300411,1
2022-12-09,3601141,1
2022-12-09,3601142,1
2022-12-09,3601243,2
2022-12-09,3601245,1
2022-12-09,3601449,1
2022-12-09,3701555,1
2022-12-09,4300416,1
2022-12-09,4300517,2
2022-12-09,4300621,1
2022-12-09,4400830,1
2022-12-09,4400831,1
2022-12-09,4501040,1
2022-12-09,4501045,1
2022-12-09,5200524,1
2022-12-09,6200313,2
2022-12-09,6200315,2
2022-12-09,6300526,1
2022-12-09,6400838,1
2022-12-09,6400839,2
2022-12-09,7100102,1
2022-12-09,7100204,1
2022-12-09,7200308,1
2022-12-09,7300618,1
2022-12-09,7400720,1
2022-12-09,7501029,1
2022-12-09,8100103,1
2022-12-09,8100207,1
2022-12-09,8100208,1
2022-12-09,8100310,1
2022-12-09,8100314,3
2022-12-09,8100520,1
2022-12-09,9100408,1
2022-12-09,9200510,1
2022-12-09,9200613,1
2022-12-09,10100312,1
2022-12-09,11300722,1
2022-12-09,11400928,1
2022-12-09,11501341,1
2022-12-09,12200307,1
2022-12-09,12500927,1
2022-12-09,12601032,1
2022-12-10,1100103,1
2022-12-10,1100104,1
2022-12-10,1100205,1
2022-12-10,1100206,2
2022-12-10,1100311,1
2022-12-10,1100312,3
2022-12-10,1100313,1
2022-12-10,1100414,1
2022-12-10,1200518,1
2022-12-10,1200519,1
2022-12-10,1200522,1
2022-12-10,1200623,2
2022-12-10,1200629,2
2022-12-10,1300730,1
2022-12-10,1401043,2
2022-12-10,2100103,1
2022-12-10,2100104,1
2022-12-10,2200209,1
