,LOR,year,bike_theft_count
412,5200423,2023,1
413,5200524,2022,1
414,5200525,2022,1
415,5200526,2022,1
416,5200527,2022,1
417,5200527,2023,1
418,5200528,2022,1
419,5200528,2023,1
420,5200629,2022,1
421,5200629,2023,1
422,5200630,2022,1
423,5200630,2023,1
424,5200631,2022,1
425,5200632,2022,1
426,5200632,2023,1
427,5200633,2022,1
428,5200634,2022,1
429,5200634,2023,1
430,5300735,2022,1
431,5300735,2023,1
432,5300736,2022,1
433,5300736,2023,1
434,5300737,2022,1
435,5300737,2023,1
436,5300838,2022,1
437,5300839,2022,1
438,5300839,2023,1
439,5300840,2022,1
440,5300840,2023,1
441,5300841,2022,1
442,5300841,2023,1
443,5400942,2022,1
444,5400943,2022,1
445,5400944,2022,1
446,5400945,2022,1
447,6100101,2022,1
448,6100101,2023,1
449,6100102,2022,1
450,6100102,2023,1
451,6100103,2022,1
452,6100103,2023,1
453,6100204,2022,1
454,6100205,2022,1
455,6100206,2022,1
456,6100206,2023,1
457,6100207,2022,1
458,6100207,2023,1
459,6100208,2022,1
460,6100208,2023,1
461,6100209,2022,1
462,6100209,2023,1
463,6100210,2022,1
464,6100210,2023,1
465,6200311,2022,1
466,6200312,2022,1
467,6200312,2023,1
468,6200313,2022,1
469,6200313,2023,1
470,6200314,2022,1
471,6200314,2023,1
472,6200315,2022,1
473,6200316,2022,1
474,6200317,2022,1
475,6200317,2023,1
476,6200419,2022,1
477,6200420,2022,1
478,6200420,2023,1
479,6200421,2022,1
480,6200421,2023,1
481,6200422,2022,1
482,6200422,2023,1
483,6200423,2022,1
484,6300524,2022,1
485,6300524,2023,1
486,6300525,2022,1
487,6300526,2022,1
488,6300526,2023,1
489,6300527,2022,1
490,6300527,2023,1
491,6300528,2022,1
492,6300528,2023,1
493,6300629,2022,1
494,6300629,2023,1
495,6300630,2022,1
496,6300630,2023,1
497,6300631,2022,1
498,6300631,2023,1
499,6300632,2022,1
500,6300632,2023,1
501,6300633,2022,1
502,6300633,2023,1
503,6300634,2022,1
504,6300634,2023,1
505,6400735,2022,1
506,6400735,2023,1
507,6400736,2022,1
508,6400736,2023,1
509,6400737,2022,1
510,6400737,2023,1
511,6400838,2022,1
512,6400838,2023,1
513,6400839,2022,1
514,6400839,2023,1
515,6400840,2022,1
516,6400840,2023,1
517,6400841,2022,1
518,6400841,2023,1
519,6400842,2022,1
520,6400843,2022,1
521,6400843,2023,1
